time,open,high,low,close,volume
2012-04-15,1644.61,1679.85,1631.8,1655.57,645040
2012-04-22,1653.14,1657.69,1631.09,1642.56,646906
2012-04-29,1639.87,1667.44,1623.21,1662.37,651720
2012-05-06,1664.05,1671.45,1626.43,1641.17,598132
2012-05-13,1639.73,1642.6,1574.42,1579.11,703744
2012-05-20,1582.16,1597.59,1526.96,1592.18,780041
2012-05-27,1592.76,1599.13,1533.14,1572.56,714786
2012-06-03,1575.45,1629.53,1533.21,1623.04,699112
2012-06-10,1623.78,1640.63,1560.99,1592.32,844558
2012-06-17,1600.94,1633.63,1581.74,1623.99,547075
2012-06-24,1623.08,1633.18,1558.1,1571.29,604642
2012-07-01,1572.36,1606.79,1547.9,1596.56,539341
2012-07-08,1597.61,1624.93,1576.39,1582.5,482800
2012-07-15,1579.15,1601.17,1554.94,1588.72,495241
2012-07-22,1590.57,1598.93,1567.7,1583.53,543471
2012-07-29,1580.48,1629.38,1563.16,1622.35,559568
2012-08-05,1624.04,1627.89,1583.83,1602.24,506437
2012-08-12,1601.38,1626.39,1600.74,1619.48,473967
2012-08-19,1620.09,1625.6,1589.2,1614.76,454084
2012-08-26,1617.42,1674.81,1609.75,1669.44,447906
2012-09-02,1671.38,1692.78,1645.91,1690.8,433055
2012-09-09,1689.15,1741.75,1685.35,1735.7,512736
2012-09-16,1734.91,1777.72,1715.46,1770.35,729403
2012-09-23,1775.13,1787.39,1751.84,1773.03,774274
2012-09-30,1771.81,1783.24,1736.63,1771.68,784526
2012-10-07,1769.47,1795.87,1763.33,1780.29,755302
2012-10-14,1777.25,1779.7,1752.06,1754.19,677295
2012-10-21,1751.86,1753.46,1715.52,1721.75,676444
2012-10-28,1718.34,1730.03,1698.5,1710.89,749216
2012-11-04,1711.77,1726.98,1674.43,1677.42,622228
2012-11-11,1677.93,1738.77,1672.63,1730.84,824252
2012-11-18,1733.65,1737.96,1704.68,1713.57,746922
2012-11-25,1714.57,1754.28,1714.29,1751.13,576877
2012-12-02,1750.35,1752.19,1705.59,1714.13,753493
2012-12-09,1714.96,1722.51,1684.01,1703.59,771094
2012-12-16,1703.68,1723.27,1689.39,1695.38,703591
2012-12-23,1699.48,1703.07,1635.44,1657.04,728859
2012-12-30,1657.22,1667.89,1651.81,1655.16,301822
2013-01-06,1656.02,1694.77,1625.8,1655.75,514335
2013-01-13,1658.6,1678.77,1642.67,1662.71,674034
2013-01-20,1661.58,1696.1,1659.88,1683.31,635340
2013-01-27,1688.48,1695.99,1655.87,1658.91,569903
2013-02-03,1659.66,1683.74,1651.89,1667.11,642734
2013-02-10,1668.8,1684.97,1661.48,1666.97,678022
2013-02-17,1667.36,1669.54,1597.87,1609.23,740747
2013-02-24,1609.22,1618.79,1555.04,1580.46,1000691
2013-03-03,1580.91,1620.1,1564.81,1576.23,1104115
2013-03-10,1580.2,1586.51,1561.41,1578.55,832955
2013-03-17,1578.6,1599.35,1575.5,1591.95,597725
2013-03-24,1604.62,1616.84,1591.67,1608.42,604402
2013-03-31,1608.32,1613.79,1589.65,1596.1,478403
2013-04-07,1600.84,1603.92,1540.12,1580.79,706811
2013-04-14,1582.24,1590.38,1481.75,1482.33,795487
2013-04-21,1482.82,1495.57,1321.54,1403.53,1934975
2013-04-28,1405.88,1485.21,1403.6,1461.01,1177310
2013-05-05,1466.69,1488.08,1440.41,1470.45,1001845
2013-05-12,1470.21,1478.85,1419.74,1447.39,986180
2013-05-19,1445.98,1446.74,1355.26,1358.89,1295904
2013-05-26,1364.59,1414.31,1337.95,1385.79,1539703
2013-06-02,1387.9,1421.9,1373.69,1387.64,868590
2013-06-09,1389.5,1423.89,1377.78,1381.96,1088670
2013-06-16,1379.18,1394.88,1365.29,1390.25,977718
2013-06-23,1389.19,1391.93,1269.43,1295.57,1247366
2013-06-30,1298.87,1301.51,1180.17,1234.86,1639924
2013-07-07,1235.51,1267.47,1208.14,1222.92,1032018
2013-07-14,1223.59,1298.83,1215.65,1285.31,1073049
2013-07-21,1288.52,1300.55,1270.27,1295.75,899755
